Y1Fe7Cu1             | TM ratio: 0.778 |  9 atoms
Y1Fe8Cu1             | TM ratio: 0.800 | 10 atoms
Y1Fe9Cu1             | TM ratio: 0.818 | 11 atoms
Y1Fe9Cu2             | TM ratio: 0.750 | 12 atoms
Y1Fe10Cu1            | TM ratio: 0.833 | 12 atoms
Y1Fe10Cu2            | TM ratio: 0.769 | 13 atoms
Y1Fe11Cu1            | TM ratio: 0.846 | 13 atoms
Y1Fe11Cu2            | TM ratio: 0.786 | 14 atoms
Y1Fe12Cu1            | TM ratio: 0.857 | 14 atoms
Y1Fe12Cu2            | TM ratio: 0.800 | 15 atoms
Y1Fe12Cu3            | TM ratio: 0.750 | 16 atoms
Y1Fe13Cu1            | TM ratio: 0.867 | 15 atoms
Y1Fe13Cu2            | TM ratio: 0.812 | 16 atoms
Y1Fe13Cu3            | TM ratio: 0.765 | 17 atoms
Y1Fe14Cu1            | TM ratio: 0.875 | 16 atoms
Y1Fe14Cu2            | TM ratio: 0.824 | 17 atoms
Y1Fe14Cu3            | TM ratio: 0.778 | 18 atoms
Y1Fe15Cu1            | TM ratio: 0.882 | 17 atoms
Y1Fe15Cu2            | TM ratio: 0.833 | 18 atoms
Y1Fe15Cu3            | TM ratio: 0.789 | 19 atoms
Y1Fe15Cu4            | TM ratio: 0.750 | 20 atoms
Y1Fe16Cu1            | TM ratio: 0.889 | 18 atoms
Y1Fe16Cu2            | TM ratio: 0.842 | 19 atoms
Y1Fe16Cu3            | TM ratio: 0.800 | 20 atoms
Y1Fe17Cu1            | TM ratio: 0.895 | 19 atoms
Y1Fe17Cu2            | TM ratio: 0.850 | 20 atoms
Y1Fe18Cu1            | TM ratio: 0.900 | 20 atoms
Y2Fe9Cu1             | TM ratio: 0.750 | 12 atoms
Y2Fe10Cu1            | TM ratio: 0.769 | 13 atoms
Y2Fe11Cu1            | TM ratio: 0.786 | 14 atoms
Y2Fe12Cu1            | TM ratio: 0.800 | 15 atoms
Y2Fe13Cu1            | TM ratio: 0.812 | 16 atoms
Y2Fe13Cu2            | TM ratio: 0.765 | 17 atoms
Y2Fe14Cu1            | TM ratio: 0.824 | 17 atoms
Y2Fe15Cu1            | TM ratio: 0.833 | 18 atoms
Y2Fe15Cu2            | TM ratio: 0.789 | 19 atoms
Y2Fe15Cu3            | TM ratio: 0.750 | 20 atoms
Y2Fe16Cu1            | TM ratio: 0.842 | 19 atoms
Y2Fe17Cu1            | TM ratio: 0.850 | 20 atoms
Y3Fe12Cu1            | TM ratio: 0.750 | 16 atoms
Y3Fe13Cu1            | TM ratio: 0.765 | 17 atoms
Y3Fe14Cu1            | TM ratio: 0.778 | 18 atoms
Y3Fe15Cu1            | TM ratio: 0.789 | 19 atoms
Y3Fe15Cu2            | TM ratio: 0.750 | 20 atoms
Y3Fe16Cu1            | TM ratio: 0.800 | 20 atoms
Y4Fe15Cu1            | TM ratio: 0.750 | 20 atoms
Y1Fe6Zn1             | TM ratio: 0.750 |  8 atoms
Y1Fe7Zn1             | TM ratio: 0.778 |  9 atoms
Y1Fe8Zn1             | TM ratio: 0.800 | 10 atoms
Y1Fe9Zn1             | TM ratio: 0.818 | 11 atoms
Y1Fe9Zn2             | TM ratio: 0.750 | 12 atoms
Y1Fe10Zn1            | TM ratio: 0.833 | 12 atoms
Y1Fe10Zn2            | TM ratio: 0.769 | 13 atoms
Y1Fe11Zn1            | TM ratio: 0.846 | 13 atoms
Y1Fe11Zn2            | TM ratio: 0.786 | 14 atoms
Y1Fe12Zn1            | TM ratio: 0.857 | 14 atoms
Y1Fe12Zn2            | TM ratio: 0.800 | 15 atoms
Y1Fe12Zn3            | TM ratio: 0.750 | 16 atoms
Y1Fe13Zn1            | TM ratio: 0.867 | 15 atoms
Y1Fe13Zn2            | TM ratio: 0.812 | 16 atoms
Y1Fe13Zn3            | TM ratio: 0.765 | 17 atoms
Y1Fe14Zn1            | TM ratio: 0.875 | 16 atoms
Y1Fe14Zn2            | TM ratio: 0.824 | 17 atoms
Y1Fe14Zn3            | TM ratio: 0.778 | 18 atoms
Y1Fe15Zn1            | TM ratio: 0.882 | 17 atoms
Y1Fe15Zn2            | TM ratio: 0.833 | 18 atoms
Y1Fe15Zn3            | TM ratio: 0.789 | 19 atoms
Y1Fe15Zn4            | TM ratio: 0.750 | 20 atoms
Y1Fe16Zn1            | TM ratio: 0.889 | 18 atoms
Y1Fe16Zn2            | TM ratio: 0.842 | 19 atoms
Y1Fe16Zn3            | TM ratio: 0.800 | 20 atoms
