chemsys,mp_id,formula,mp_form_energy,mp_e_above_hull,mp_on_hull,MatterSim_form_energy,MatterSim_e_above_hull,MatterSim_on_hull,change
Cu-Ni,mp-1010136,Cu,0.035708,0.035708,False,0.035359,0.035359,False,
Cu-Ni,mp-1014111,Ni,0.620239,0.620239,False,0.586471,0.586471,False,
Cu-Ni,mp-10257,Ni,0.026142,0.026142,False,0.003315,0.003315,False,
Cu-Ni,mp-1056079,Cu,1.982934,1.982934,False,1.958183,1.958183,False,
Cu-Ni,mp-1059259,Cu,0.142906,0.142906,False,0.152877,0.152877,False,
Cu-Ni,mp-1094136,Ni,0.739852,0.739852,False,0.775805,0.775805,False,
Cu-Ni,mp-1120774,Cu,0.159117,0.159117,False,0.13668,0.13668,False,
Cu-Ni,mp-1184054,CuNi3,0.031935,0.031935,False,0.043064,0.043064,False,
Cu-Ni,mp-1184069,CuNi,0.029276,0.029276,False,0.039361,0.039361,False,
Cu-Ni,mp-1225687,CuNi,0.018481,0.018481,False,0.037188,0.037188,False,
Cu-Ni,mp-1225694,CuNi3,0.092158,0.092158,False,0.087886,0.087886,False,
Cu-Ni,mp-1225695,CuNi,0.064863,0.064863,False,0.088561,0.088561,False,
Cu-Ni,mp-1225698,Cu3Ni,0.050509,0.050509,False,0.058338,0.058338,False,
Cu-Ni,mp-1246134,Ni,0.409911,0.409911,False,0.432487,0.432487,False,
Cu-Ni,mp-23,Ni,0.0,0.0,True,0.0,0.0,True,
Cu-Ni,mp-30,Cu,0.0,0.0,True,0.0,0.0,True,
Cu-Ni,mp-989695,Cu,0.005766,0.005766,False,0.00025,0.00025,False,
Cu-Ni,mp-989782,Cu,0.007492,0.007492,False,0.000483,0.000483,False,
Cu-Ni,mp-998890,Cu,0.03664,0.03664,False,0.035611,0.035611,False,
Cu-Y,mp-1010136,Cu,0.035708,0.035708,False,0.035359,0.035359,False,
Cu-Y,mp-1056079,Cu,1.982934,1.982934,False,1.958183,1.958183,False,
Cu-Y,mp-1059259,Cu,0.142906,0.142906,False,0.152877,0.152877,False,
Cu-Y,mp-1077241,YCu2,-0.154954,0.106105,False,-0.27975,0.0,True,GAINED
Cu-Y,mp-1080443,YCu,-0.258562,0.0,True,-0.273073,0.0,True,
Cu-Y,mp-1102436,YCu2,-0.187613,0.073446,False,-0.269483,0.010267,False,
Cu-Y,mp-112,Y,0.00355,0.00355,False,5e-06,5e-06,True,GAINED
Cu-Y,mp-1120774,Cu,0.159117,0.159117,False,0.13668,0.13668,False,
